customer_id,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
2950,1,2,2017-02-25,0,1,Solex,Standard,medium,medium,71.49,53.62,41245
3120,2,3,2017-05-21,1,1,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701
402,3,37,2017-10-16,0,1,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
3135,4,88,2017-08-31,0,1,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145
787,5,78,2017-10-01,1,1,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226
2339,6,25,2017-03-08,1,1,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031
1542,7,22,2017-04-21,1,1,WeareA2B,Standard,medium,medium,60.34,45.26,34165
2459,8,15,2017-07-15,0,1,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
1305,9,67,2017-08-10,0,1,Solex,Standard,medium,large,1071.23,380.74,33455
3262,10,12,2017-08-30,1,1,WeareA2B,Standard,medium,medium,1231.15,161.6,38216
1986,11,5,2017-01-17,0,1,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784
2783,12,61,2017-01-05,1,1,OHM Cycles,Standard,low,medium,71.16,56.93,42172
1243,13,35,2017-02-26,1,1,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527
2717,14,16,2017-09-10,0,1,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586
247,15,12,2017-06-11,0,1,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193
2961,16,3,2017-10-10,0,1,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873
2426,17,79,2017-04-03,0,1,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206
1842,18,33,2017-06-02,0,1,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
2268,19,54,2017-04-06,1,1,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
3002,20,25,2017-01-28,1,1,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337
1582,21,27,2017-10-09,0,1,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
595,22,37,2017-06-29,1,1,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
2001,23,37,2017-04-08,1,1,OHM Cycles,Standard,low,medium,1793.43,248.82,42145
515,24,82,2017-10-18,0,1,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
2822,25,89,2017-06-11,0,1,WeareA2B,Touring,medium,large,1362.99,57.74,34079
2596,26,64,2017-01-10,0,1,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145
2666,27,64,2017-04-11,1,1,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047
76,28,19,2017-12-23,0,1,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560
3368,29,72,2017-10-13,1,1,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
1173,30,91,2017-03-15,0,1,WeareA2B,Standard,low,medium,642.31,513.85,41922
2810,31,88,2017-09-05,1,1,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539
3214,32,1,2017-02-18,0,1,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
1272,33,25,2017-03-20,0,1,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
2003,34,99,2017-02-28,1,1,Trek Bicycles,Road,low,small,1720.7,1531.42,38991
2171,35,0,2017-08-20,0,1,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
3356,36,92,2017-07-07,0,1,WeareA2B,Standard,medium,small,1415.01,1259.36,37874
1040,37,14,2017-01-09,0,1,Solex,Standard,high,large,1842.92,1105.75,34996
2916,38,2,2017-12-06,0,1,Solex,Standard,medium,medium,71.49,53.62,33549
427,39,12,2017-09-12,0,1,WeareA2B,Standard,medium,medium,1231.15,161.6,38693
2448,40,0,2017-11-28,1,1,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
2570,41,44,2017-05-08,1,1,WeareA2B,Standard,medium,medium,1769.64,108.76,37668
3398,42,79,2017-05-14,0,1,Solex,Touring,medium,large,2083.94,675.03,41533
488,43,76,2017-03-17,0,0,WeareA2B,Standard,low,medium,642.31,513.85,41922
165,44,46,2017-12-22,0,1,Solex,Standard,low,medium,1289.85,74.51,37668
2787,45,55,2017-06-07,1,1,Trek Bicycles,Road,medium,large,1894.19,598.76,42172
3053,46,66,2017-06-20,0,1,Solex,Standard,medium,medium,1163.89,589.27,42560
475,47,35,2017-05-07,1,1,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527
1305,48,81,2017-06-10,1,1,Solex,Standard,medium,medium,1151.96,649.49,41009
1251,49,86,2017-06-17,0,1,OHM Cycles,Standard,medium,medium,235.63,125.07,38206
3103,50,32,2017-05-10,0,1,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337
3108,51,77,2017-03-24,0,1,Norco Bicycles,Road,medium,large,1240.31,795.1,40553
857,52,96,2017-11-27,0,1,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427
3455,53,6,2017-12-21,1,1,OHM Cycles,Standard,high,medium,227.88,136.73,33549
2549,54,27,2017-02-09,1,1,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527
3140,55,0,2017-09-18,0,1,Norco Bicycles,Standard,low,medium,363.01,290.41,38482
3406,56,47,2017-11-14,0,1,Trek Bicycles,Road,low,small,1720.7,1531.42,35470
2294,57,94,2017-08-30,1,1,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434
1031,58,91,2017-11-14,0,1,Solex,Standard,medium,medium,100.35,75.26,36367
993,59,93,2017-02-15,1,1,OHM Cycles,Standard,high,medium,1458.17,874.9,38750
3473,60,60,2017-12-18,0,1,Giant Bicycles,Standard,high,small,1977.36,1759.85,41848
1839,61,0,2017-02-24,0,1,OHM Cycles,Road,high,large,12.01,7.21,34244
1824,62,33,2017-12-18,1,1,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
368,63,35,2017-12-17,0,1,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
2000,64,0,2017-07-08,0,1,Trek Bicycles,Standard,medium,medium,499.53,388.72,39031
825,65,28,2017-05-16,1,1,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696
3315,66,86,2017-02-23,1,1,OHM Cycles,Standard,medium,medium,235.63,125.07,36367
75,67,2,2017-07-03,1,1,Solex,Standard,medium,medium,71.49,53.62,41245
1498,68,4,2017-09-30,1,1,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258
1612,69,38,2017-10-21,1,1,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167
2192,70,27,2017-05-06,1,1,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
